Open,High,Low,Close,Adj Close,Date
242.4649963,242.4799957,242,242.1360016,242.1360016,2022-09-19 09:30:00-04:00
242.1900024,242.5899963,242.1000061,242.5449982,242.5449982,2022-09-19 09:31:00-04:00
242.3150024,242.519104,242.190094,242.4649963,242.4649963,2022-09-19 09:32:00-04:00
242.4799957,242.6150055,242.2299957,242.3999939,242.3999939,2022-09-19 09:33:00-04:00
242.1699982,242.589798,242.1699982,242.3612061,242.3612061,2022-09-19 09:34:00-04:00
242.3600006,242.4140015,242.0200043,242.0800018,242.0800018,2022-09-19 09:35:00-04:00
242.2649994,242.5,242.25,242.5,242.5,2022-09-19 09:36:00-04:00
242.5099945,242.5399933,242.2949982,242.3399963,242.3399963,2022-09-19 09:37:00-04:00
242.3600006,242.4100037,242.1000061,242.1000061,242.1000061,2022-09-19 09:38:00-04:00
242.1000061,242.3999939,242.0599976,242.2743073,242.2743073,2022-09-19 09:39:00-04:00
242.2879028,242.4600067,242.1710052,242.2902985,242.2902985,2022-09-19 09:40:00-04:00
242.3000031,242.6300049,242.2949982,242.5850067,242.5850067,2022-09-19 09:41:00-04:00
242.6000061,243.0500031,242.4900055,243.0500031,243.0500031,2022-09-19 09:42:00-04:00
243.0200043,243.2599945,242.8200073,243.1398926,243.1398926,2022-09-19 09:43:00-04:00
243.25,243.2559967,243.0099945,243.1699982,243.1699982,2022-09-19 09:44:00-04:00
243.125,243.6399994,243.111496,243.5686951,243.5686951,2022-09-19 09:45:00-04:00
243.2187958,243.3800049,243.1499939,243.2799988,243.2799988,2022-09-19 09:46:00-04:00
243.0431061,243.0599976,242.8699951,243.0200043,243.0200043,2022-09-19 09:47:00-04:00
243,243,242.8899994,242.9400024,242.9400024,2022-09-19 09:48:00-04:00
243,243.1130066,242.9700012,243.0299988,243.0299988,2022-09-19 09:49:00-04:00
243.1054993,243.2998962,242.9900055,243.2799988,243.2799988,2022-09-19 09:50:00-04:00
243.5,243.5,243.2400055,243.4700012,243.4700012,2022-09-19 09:51:00-04:00
243.5,243.8600006,243.5,243.8565063,243.8565063,2022-09-19 09:52:00-04:00
243.75,243.9649963,243.75,243.8099976,243.8099976,2022-09-19 09:53:00-04:00
243.8399963,243.9199982,243.6699982,243.6699982,243.6699982,2022-09-19 09:54:00-04:00
243.75,243.8800049,243.7299957,243.7700043,243.7700043,2022-09-19 09:55:00-04:00
243.5899963,243.5899963,243.4799957,243.5200043,243.5200043,2022-09-19 09:56:00-04:00
243.5,243.5200043,243.4900055,243.5099945,243.5099945,2022-09-19 09:57:00-04:00
243.4649963,243.5099945,243.4299927,243.4933014,243.4933014,2022-09-19 09:58:00-04:00
243.5599976,243.6900024,243.4949951,243.6699982,243.6699982,2022-09-19 09:59:00-04:00
243.430603,243.4786072,243.2700043,243.2785034,243.2785034,2022-09-19 10:00:00-04:00
243.2899017,243.4299927,243.1000061,243.3099976,243.3099976,2022-09-19 10:01:00-04:00
243.2700043,243.2799988,243,243.0200043,243.0200043,2022-09-19 10:02:00-04:00
243.0099945,243.4299927,243.0099945,243.3000031,243.3000031,2022-09-19 10:03:00-04:00
243.2700043,243.4499969,243.1999969,243.3699951,243.3699951,2022-09-19 10:04:00-04:00
243.3899994,243.7200012,243.3399963,243.7200012,243.7200012,2022-09-19 10:05:00-04:00
243.7200012,243.8600006,243.5599976,243.7203064,243.7203064,2022-09-19 10:06:00-04:00
243.7200012,243.7200012,243.3699951,243.4550018,243.4550018,2022-09-19 10:07:00-04:00
243.338501,243.338501,243.0800018,243.2299957,243.2299957,2022-09-19 10:08:00-04:00
243.25,243.3800049,243.1600037,243.3399963,243.3399963,2022-09-19 10:09:00-04:00
243.3498993,243.6100006,243.3399963,243.4900055,243.4900055,2022-09-19 10:10:00-04:00
243.5200043,243.8300018,243.5200043,243.777298,243.777298,2022-09-19 10:11:00-04:00
243.7637939,244.0899963,243.5299988,244.0299988,244.0299988,2022-09-19 10:12:00-04:00
244.0800934,244.3399963,243.9900055,244.1600037,244.1600037,2022-09-19 10:13:00-04:00
244.1600037,244.2799072,243.9100037,243.9499969,243.9499969,2022-09-19 10:14:00-04:00
243.9199982,244.0899963,243.2899933,243.9450073,243.9450073,2022-09-19 10:15:00-04:00
243.9299927,244.0700073,243.8000031,243.8699951,243.8699951,2022-09-19 10:16:00-04:00
243.8999939,243.9738007,243.7799988,243.7962036,243.7962036,2022-09-19 10:17:00-04:00
243.7599945,243.7599945,243.4253998,243.5099945,243.5099945,2022-09-19 10:18:00-04:00
243.5485992,243.5500031,243.0800018,243.1399994,243.1399994,2022-09-19 10:19:00-04:00
243.1399994,243.1499939,242.829895,242.9100037,242.9100037,2022-09-19 10:20:00-04:00
242.8899994,242.9700012,242.7200012,242.7899933,242.7899933,2022-09-19 10:21:00-04:00
242.8300018,243.046402,242.7100983,243.0200043,243.0200043,2022-09-19 10:22:00-04:00
243.0299988,243.0299988,242.8099976,242.8600006,242.8600006,2022-09-19 10:23:00-04:00
242.8899994,243.1298981,242.8899994,243.1100006,243.1100006,2022-09-19 10:24:00-04:00
243.1199951,243.2599945,243.0599976,243.1499939,243.1499939,2022-09-19 10:25:00-04:00
243.1499939,243.5500031,243.1199951,243.5308075,243.5308075,2022-09-19 10:26:00-04:00
243.5500031,243.5500031,243.2388,243.2700043,243.2700043,2022-09-19 10:27:00-04:00
243.2810059,243.4600067,243.2810059,243.4499969,243.4499969,2022-09-19 10:28:00-04:00
243.4199982,243.5299988,243.3600006,243.4199982,243.4199982,2022-09-19 10:29:00-04:00
243.3800049,243.6399994,243.1609955,243.3300018,243.3300018,2022-09-19 10:30:00-04:00
243.3300018,243.4199982,243.0700073,243.1399994,243.1399994,2022-09-19 10:31:00-04:00
243.1300049,243.1999969,243.0899963,243.1999969,243.1999969,2022-09-19 10:32:00-04:00
243.1600037,243.3800049,243.1600037,243.3800049,243.3800049,2022-09-19 10:33:00-04:00
243.3600006,243.5299988,243.3249969,243.4499969,243.4499969,2022-09-19 10:34:00-04:00
243.75,244.0899963,243.740097,244.0899963,244.0899963,2022-09-19 10:35:00-04:00
244.0899963,244.1499939,243.9100037,244.1094055,244.1094055,2022-09-19 10:36:00-04:00
244.1199951,244.1199951,243.8500061,244.0399933,244.0399933,2022-09-19 10:37:00-04:00
243.9900055,244.1999969,243.9452972,244.1799927,244.1799927,2022-09-19 10:38:00-04:00
244.168396,244.1999969,244.0599976,244.1499939,244.1499939,2022-09-19 10:39:00-04:00
244.1600037,244.3699951,244.0899963,244.3699951,244.3699951,2022-09-19 10:40:00-04:00
244.3800049,244.5800018,244.3800049,244.4299927,244.4299927,2022-09-19 10:41:00-04:00
244.4190063,244.4799042,244.1849976,244.1999969,244.1999969,2022-09-19 10:42:00-04:00
244.2100067,244.25,244.0500031,244.1119995,244.1119995,2022-09-19 10:43:00-04:00
244.0998993,244.1954956,243.9600067,244.1327972,244.1327972,2022-09-19 10:44:00-04:00
244.1100006,244.3190002,244.0599976,244.1399994,244.1399994,2022-09-19 10:45:00-04:00
244.1100006,244.2200012,244.0099945,244.0899963,244.0899963,2022-09-19 10:46:00-04:00
244.1100006,244.1300049,244.0200043,244.0599976,244.0599976,2022-09-19 10:47:00-04:00
244.0500031,244.1300049,243.9600067,244.0399933,244.0399933,2022-09-19 10:48:00-04:00
244.0599976,244.1188049,243.8699951,243.8699951,243.8699951,2022-09-19 10:49:00-04:00
243.8600006,243.8600006,243.6399994,243.7628937,243.7628937,2022-09-19 10:50:00-04:00
243.75,243.8999939,243.6499939,243.8600006,243.8600006,2022-09-19 10:51:00-04:00
243.9100037,244,243.8583069,243.9400024,243.9400024,2022-09-19 10:52:00-04:00
243.6399994,243.7100067,243.5800018,243.5899963,243.5899963,2022-09-19 10:53:00-04:00
243.6000061,243.6950073,243.5599976,243.5800018,243.5800018,2022-09-19 10:54:00-04:00
243.5599976,243.7899933,243.4028168,243.7700043,243.7700043,2022-09-19 10:55:00-04:00
243.7700043,243.8399963,243.5700073,243.6334076,243.6334076,2022-09-19 10:56:00-04:00
243.5749969,243.6199951,243.5099945,243.5599976,243.5599976,2022-09-19 10:57:00-04:00
243.5599976,243.6999969,243.4400024,243.5850067,243.5850067,2022-09-19 10:58:00-04:00
243.6199951,243.6999969,243.5200043,243.6199951,243.6199951,2022-09-19 10:59:00-04:00
243.6600037,243.7799988,243.6000061,243.6399994,243.6399994,2022-09-19 11:00:00-04:00
243.6399994,243.8399963,243.4900055,243.8195953,243.8195953,2022-09-19 11:01:00-04:00
243.8200073,244.0200043,243.6999969,243.8399963,243.8399963,2022-09-19 11:02:00-04:00
243.8450012,243.9490051,243.616806,243.6300049,243.6300049,2022-09-19 11:03:00-04:00
243.6100006,243.8000031,243.5599976,243.7299957,243.7299957,2022-09-19 11:04:00-04:00
243.7200012,243.7299957,243.5899963,243.6900024,243.6900024,2022-09-19 11:05:00-04:00
243.7599945,243.9299927,243.6699982,243.8800049,243.8800049,2022-09-19 11:06:00-04:00
243.8706055,243.9499969,243.6999969,243.7980957,243.7980957,2022-09-19 11:07:00-04:00
