Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-27 09:30:00-04:00,280.5,281.4588928222656,280.2799987792969,281.05999755859375,281.05999755859375,1097197
2023-03-27 09:31:00-04:00,281.0299987792969,281.05999755859375,279.7099914550781,279.7200012207031,279.7200012207031,155098
2023-03-27 09:32:00-04:00,279.7300109863281,279.8500061035156,279.3500061035156,279.3999938964844,279.3999938964844,144727
2023-03-27 09:33:00-04:00,279.4396057128906,280.0,279.3999938964844,279.8299865722656,279.8299865722656,112296
2023-03-27 09:34:00-04:00,279.9049987792969,280.0,279.5299987792969,279.739990234375,279.739990234375,73881
2023-03-27 09:35:00-04:00,279.7950134277344,280.0199890136719,279.5199890136719,279.5400085449219,279.5400085449219,109818
2023-03-27 09:36:00-04:00,279.5299987792969,279.6050109863281,278.8500061035156,278.94000244140625,278.94000244140625,168441
2023-03-27 09:37:00-04:00,278.92999267578125,279.0799865722656,278.81280517578125,278.8456115722656,278.8456115722656,90990
2023-03-27 09:38:00-04:00,278.8450012207031,278.9100036621094,278.510009765625,278.8211975097656,278.8211975097656,177571
2023-03-27 09:39:00-04:00,278.8713073730469,278.92999267578125,278.5400085449219,278.7301025390625,278.7301025390625,119516
2023-03-27 09:40:00-04:00,278.7900085449219,279.277099609375,278.70001220703125,279.135009765625,279.135009765625,146182
2023-03-27 09:41:00-04:00,279.1700134277344,279.5,278.989990234375,279.4599914550781,279.4599914550781,137700
2023-03-27 09:42:00-04:00,279.4800109863281,279.9200134277344,279.4800109863281,279.8599853515625,279.8599853515625,75206
2023-03-27 09:43:00-04:00,279.8800048828125,280.5,279.8006896972656,280.3999938964844,280.3999938964844,145093
2023-03-27 09:44:00-04:00,280.4200134277344,280.5899963378906,280.3399963378906,280.4851989746094,280.4851989746094,110515
2023-03-27 09:45:00-04:00,280.4700012207031,280.6199951171875,280.20001220703125,280.2099914550781,280.2099914550781,114275
2023-03-27 09:46:00-04:00,280.19000244140625,280.5799865722656,280.1400146484375,280.30999755859375,280.30999755859375,79584
2023-03-27 09:47:00-04:00,280.3215026855469,280.3500061035156,280.010009765625,280.05010986328125,280.05010986328125,60573
2023-03-27 09:48:00-04:00,280.1000061035156,280.489990234375,279.94000244140625,280.4599914550781,280.4599914550781,50197
2023-03-27 09:49:00-04:00,280.4700012207031,280.739990234375,280.2998962402344,280.4617919921875,280.4617919921875,108405
2023-03-27 09:50:00-04:00,280.5299987792969,280.92999267578125,280.42999267578125,280.82000732421875,280.82000732421875,109020
2023-03-27 09:51:00-04:00,280.7900085449219,280.89190673828125,280.510009765625,280.6199951171875,280.6199951171875,66712
2023-03-27 09:52:00-04:00,280.6300048828125,280.7998962402344,280.5199890136719,280.7629089355469,280.7629089355469,78601
2023-03-27 09:53:00-04:00,280.75,280.9200134277344,280.6000061035156,280.8900146484375,280.8900146484375,69208
