Date,Open,High,Low,Close,Adj Close,Volume
7/10/2015,52.444,52.599998,51.563999,51.830002,51.830002,13054500
7/13/2015,52.450001,52.509998,51.209999,52.431999,52.431999,14801500
7/14/2015,52.419998,53.198002,52.102001,53.130001,53.130001,9538000
7/15/2015,53.348,53.498001,52.416,52.627998,52.627998,10108000
7/16/2015,52.844002,53.439999,52.632,53.335999,53.335999,8080000
7/17/2015,54.5,55.108002,53.650002,54.931999,54.931999,25020500
7/20/2015,55,57.330002,54.507999,56.452,56.452,24892500
7/21/2015,54.009998,54.700001,53.310001,53.354,53.354,30543500
7/22/2015,52.254002,53.888,52.172001,53.574001,53.574001,15525000
7/23/2015,53.93,53.98,53.054001,53.439999,53.439999,11136000
7/24/2015,53.476002,54.217999,52.784,53.082001,53.082001,14182500
7/27/2015,52.486,52.886002,50.158001,50.602001,50.602001,23471000
7/28/2015,51.150002,53.080002,50.368,52.964001,52.964001,19479000
7/29/2015,52.854,53.577999,52.400002,52.764,52.764,13950500
7/30/2015,52.537998,53.388,52.422001,53.358002,53.358002,10173000
7/31/2015,53.52,53.872002,53.023998,53.23,53.23,11113000
8/3/2015,53.257999,53.341999,51.414001,51.998001,51.998001,12767500
8/4/2015,52.001999,53.344002,51.667999,53.256001,53.256001,11762500
8/5/2015,52.716,54.200001,52.080002,54.026001,54.026001,31071500
8/6/2015,49.908001,51,47.223999,49.226002,49.226002,73119000
8/7/2015,48.716,48.745998,47.678001,48.501999,48.501999,25367000
8/10/2015,47.630001,48.594002,47.209999,48.228001,48.228001,20929500
8/11/2015,47.43,47.860001,46.888,47.473999,47.473999,21324500
8/12/2015,47,47.953999,46.548,47.633999,47.633999,18640000
8/13/2015,47.972,49.296001,47.824001,48.501999,48.501999,23446000
8/14/2015,49.448002,49.585999,48.354,48.630001,48.630001,21824000
8/17/2015,51.112,51.318001,50.102001,50.998001,50.998001,35883500
8/18/2015,51.076,52.189999,50.712002,52.144001,52.144001,20975000
8/19/2015,52.066002,52.130001,51.004002,51.049999,51.049999,18021500
8/20/2015,50.411999,50.911999,48.380001,48.436001,48.436001,24529000
8/21/2015,47.200001,48.759998,46.102001,46.153999,46.153999,32951000
8/24/2015,40.557999,46.279999,39,43.773998,43.773998,47908000
8/25/2015,46.104,46.18,43.824001,44.006001,44.006001,21636500
8/26/2015,45.585999,45.599998,43.102001,44.967999,44.967999,24815000
8/27/2015,46.200001,48.950001,46.161999,48.598,48.598,38280000
8/28/2015,48.372002,50.290001,48.313999,49.695999,49.695999,27568500
8/31/2015,49.124001,50.990002,49.102001,49.812,49.812,23501000
